"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|BC","Mt BC/yr",6.302317246,5.668138288,5.213621798,5.077736872,4.802997311,4.415744128,4.156158,4.028345873,3.920164246,3.852452639,3.797305669,3.74687777,3.715716108,3.700437202,3.695674014,3.707746977,3.728095887
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|CF4","kt CF4/yr",4.555021663,5.102774346,5.989018309,6.638575419,7.035381913,7.361560632,7.527629311,7.621464493,7.660978422,7.66742586,7.623283579,7.532965499,6.756520567,6.249144478,5.876585936,5.53076879,5.228158594
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|N2O","kt N2O/yr",9124.674776,9673.552649,10136.40414,10686.32457,11018.53662,11472.75316,11894.92439,12292.23828,12639.17161,12983.09198,13262.02496,13525.30772,13694.89609,13791.33825,13847.49698,13918.23691,13999.41269
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|OC","Mt OC/yr",25.86905529,24.68443361,22.56602292,23.24578062,22.13273868,19.91436205,18.68894871,18.18176538,17.63231594,17.25947698,16.91357183,16.6340399,16.47464228,16.33057976,16.15543808,16.05286298,15.95291613
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|HFC|HFC32","kt HFC32/yr",5.209181383,6.19426338,7.77471001,7.99695838,8.2467883,8.08305325,7.68818915,5.884181884,5.284514961,5.482132637,5.675886053,5.742533802,5.72196487,5.95620501,6.23243608,6.54971594,6.99358168
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|NOx","Mt NO2/yr",120.8096474,106.667202,96.08567125,89.88358113,86.4539363,83.51017531,81.52707422,81.4949654,81.75768806,81.95417618,82.09226924,82.11091139,82.35637431,82.78588691,83.3834009,84.05141025,84.69605305
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|HFC|HFC134a","kt HFC134a/yr",245.7559411,238.6195687,253.4759014,261.7292833,267.9026556,260.5082647,250.4815706,188.7919623,160.5597098,159.883681,159.4662663,154.5552461,151.4000555,169.3300494,190.4160281,212.1911707,240.7749034
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|SF6","kt SF6/yr",3.298970363,3.907114292,4.55327022,4.866892467,4.828673481,5.272906396,5.487221642,5.751475619,6.039211596,6.279000402,6.539933424,6.811388325,7.070975178,7.294108586,7.383660246,6.987855487,7.149465603
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|HFC|HFC245fa","kt HFC245fa/yr",3.703861421,4.10938154,6.90644092,7.45810699,8.02194895,8.57687846,9.1218848,9.69755803,10.30989272,10.90675083,11.45435482,11.95376746,12.42696223,12.8542291,13.2223131,13.52657731,13.79797339
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|CO2|AFOLU","Mt CO2/yr",1347.945896,1234.357871,1122.355557,1012.975692,904.4317029,785.6641142,667.6202611,551.21513,435.0566593,319.7525219,204.868388,90.124844,-24.57927405,-139.3439441,-254.2552082,-254.0089199,-253.8494805
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|CH4","Mt CH4/yr",320.8162241,332.3504848,349.4731017,370.7043309,383.7314283,396.5458579,406.4101421,413.584382,416.1188587,418.3506344,417.2221213,415.408043,410.5150104,406.2395599,401.7712512,395.3983755,388.6285407
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|CO","Mt CO/yr",756.1195235,691.391208,619.6862064,613.5685995,578.519619,531.1730018,502.8787675,489.4335901,475.0646806,464.919719,456.4363151,451.6023142,450.3984373,449.5678683,448.0295377,447.5460589,446.7859902
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|HFC|HFC125","kt HFC125/yr",66.0724431,78.511117,98.499815,101.3181977,104.4875138,102.416617,97.4167707,74.55206142,66.95339833,69.46348457,71.92789471,72.7831183,72.5338979,75.516363,79.033136,83.0703117,88.7141865
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|HFC|HFC227ea","kt HFC227ea/yr",3.54645232,3.63248198,4.22947837,4.28301964,4.34352193,4.40791176,4.47418049,4.36291672,4.08484193,3.5260568,3.1784773,2.99510461,2.68624289,2.37836465,2.16713864,1.85742598,1.40863207
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|VOC","Mt VOC/yr",180.5677633,173.8045223,164.1190116,168.7394399,167.0276261,161.8266857,159.9687921,160.6847808,160.3614401,159.8509943,158.6589047,158.6557352,159.5857032,160.2436078,160.9049563,161.6082913,161.8912325
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|C2F6","kt C2F6/yr",1.374271476,1.560245419,1.76652803,1.979038858,2.107438441,2.197454132,2.251774546,2.282723678,2.288208348,2.267583482,2.228868348,2.188817914,2.083598992,1.994476441,1.860594677,1.714067961,1.632669724
"GCAM 6.0 NGFS","Current Policies (version: 1)","World","Emissions|Sulfur","Mt SO2/yr",61.32685058,53.63863879,48.58672625,46.54843769,45.36624085,44.16670862,43.48344448,43.24362408,42.74733144,42.04091469,41.11763795,40.0936525,38.8874484,37.71189159,36.56849321,35.41039682,34.01225279
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|CO2","Mt CO2/yr",36038.98085,37164.13405,37506.82097,30369.3466,22516.89732,14910.12368,7417.192214,3484.253421,-167.0040176,-1868.114645,-3378.975812,-4411.247058,-5366.751777,-5380.590894,-5386.848411,-5365.932453,-5333.242659
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|CO2|Energy and Industrial Processes","Mt CO2/yr",34691.03498,35929.77623,36384.4654,30009.39893,22919.65404,16075.26605,9343.382488,5411.606809,1758.523094,58.95328652,-1451.711942,-2484.091383,-3439.854904,-3453.971547,-3460.434928,-3439.661429,-3407.071361
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|HFC|HFC23","kt HFC23/yr",12.31255476,14.68964075,16.74053338,16.73549766,16.68080073,16.52246152,15.4033738,14.71176628,14.16232696,14.44700589,14.48776549,14.40833739,14.09706743,13.93732495,13.63856658,13.37052451,13.14011239
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|HFC|HFC143a","kt HFC143a/yr",71.8344665,85.2358921,106.8440092,93.2410867,81.95276905,63.76582019,50.22003766,28.8790009,19.9544971,22.2522397,22.991794,23.142329,22.0996071,22.5975297,22.3176369,21.5647315,20.7967516
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|NH3","Mt NH3/yr",58.15767283,61.97161245,64.92479233,66.68331492,68.85913913,70.88842759,72.79439142,72.1372388,72.68096001,72.8625667,72.87565327,73.35596043,73.55789523,74.97051297,75.56402737,75.82417998,75.83274031
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|F-Gases","Mt CO2-equiv/yr",1236.463357,1386.134847,1635.409661,1429.391321,1288.116629,1046.130215,878.2891804,646.9740735,554.7245964,576.8679558,582.5598171,581.3559834,565.058669,563.415771,553.7787075,539.3472637,524.7737896
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|PFC","kt CF4-equiv/yr",5.9292956,6.663022648,7.755550021,6.75868313,6.433829739,5.778165242,4.741219941,4.436053598,4.211979593,4.121084445,3.949584903,3.728913923,3.434215096,3.156567349,2.818773226,2.442085845,2.153913113
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|HFC","kt HFC134a-equiv/yr",448.9186783,468.5127395,530.5091394,449.1134327,394.1970768,295.8549743,240.4905758,153.7613241,119.4284446,119.5163589,115.7372322,109.9922684,101.59866,99.22750852,96.81705719,93.33215454,90.46201995
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|BC","Mt BC/yr",6.30247345,5.668267959,5.213744382,4.466124186,3.975559316,3.541114727,3.231641322,2.638226907,2.390918248,2.093778569,1.949349147,1.891738165,1.853441278,1.934501439,1.925001681,1.922892606,1.921356345
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|CF4","kt CF4/yr",4.555023994,5.102778306,5.989023188,5.339932184,5.100243029,4.566118895,3.635061059,3.351261943,3.144754654,3.041531368,2.873201695,2.664447909,2.39709101,2.137016599,1.827499469,1.483103312,1.222343523
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|N2O","kt N2O/yr",9124.674622,9673.527604,10136.38223,9354.578918,9197.067017,8943.058239,8929.043198,8907.229209,8889.187786,8971.39927,8901.548333,8876.789098,8824.232608,9206.308584,9425.554279,9569.906572,9658.488585
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|OC","Mt OC/yr",25.86939152,24.6845363,22.56618422,20.47432905,19.14428165,18.12910756,18.35507571,15.87544804,16.16600014,14.83145835,14.37112405,14.17173654,14.04900022,14.62651944,14.39851821,14.24115679,14.08917532
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|HFC|HFC32","kt HFC32/yr",5.209138382,6.19421475,7.77462141,6.786008184,5.964383079,4.641765742,3.656359256,2.10517822,1.45468219,1.62232713,1.67633875,1.68740479,1.61143665,1.64783064,1.62749734,1.57266408,1.516718985
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|NOx","Mt NO2/yr",120.8076764,106.664791,96.08468199,77.60712301,66.08999464,56.64180076,47.74178154,39.54794083,33.16025486,29.85649878,27.96799008,27.36707935,26.87878817,28.41941294,29.43929054,30.37978187,31.32332584
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|HFC|HFC134a","kt HFC134a/yr",245.7545293,238.6184747,253.4745593,201.7186086,170.5786426,110.8949733,84.03191419,42.79320935,29.28078163,26.83033181,24.06608559,20.95629424,18.03133462,16.39698993,15.59064972,14.72873041,13.84194305
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|SF6","kt SF6/yr",3.29882893,3.906845037,4.552953752,3.783667634,3.523596104,3.166107265,3.150422114,3.394288651,3.699541712,3.96205582,4.199323148,4.427686579,4.593365255,4.677714513,4.716287586,4.72348206,4.699240058
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|HFC|HFC245fa","kt HFC245fa/yr",3.703862472,4.10938207,6.9064408,7.07752899,7.28151427,7.45242768,7.76970752,8.32385564,8.82695038,9.44990002,10.0178774,10.52812125,10.94066767,11.42239427,11.81330798,12.15055789,12.45037319
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|CO2|AFOLU","Mt CO2/yr",1347.945868,1234.357815,1122.355563,359.9476705,-402.7567164,-1165.142371,-1926.190274,-1927.353389,-1925.527112,-1927.067932,-1927.263869,-1927.155675,-1926.896873,-1926.619348,-1926.413482,-1926.271024,-1926.171298
"GCAM 6.0 NGFS","Delayed transition (version: 1)","World","Emissions|CH4","Mt CH4/yr",320.8178628,332.3519298,349.4741926,316.5247749,299.4529637,282.4482462,274.4265414,262.6500993,254.7317578,248.6220116,240.7655481,236.7188424,231.8940758,240.8768225,245.8421356,248.5321202,249.4591326
